"jurisdiction","prior_529_deduction_or_credit","529_to_able_treatment","recapture_or_addback_rule","conformity_or_tax_year_note","form_line_reference","confidence","primary_sources","last_updated"
"Alabama","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Alaska","No state individual income tax","N/A for individual income tax recapture","N/A","No state individual income tax","N/A","High","https://alaska.gov/","2026-03-10"
"Arizona","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Arkansas","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"California","No deduction/credit","Qualified treatment appears aligned for 2019+","Additional tax framework applies for nonqualified events","2018 nonconformity visible; 2019+ instructions reflect changed treatment","FTB 3805P Part II (additional-tax computation lines)","High","https://www.ftb.ca.gov/forms/2018/18-3805P-instructions.html; https://www.ftb.ca.gov/forms/2019/2019-3805p-instructions.html; https://www.ftb.ca.gov/forms/2025/2025-3805p-instructions.html","2026-03-10"
"Colorado","Unknown","Watchlist only","DOR guidance indicates addition/recapture concepts; rollover-specific treatment not closed","Needs tax-year specific conformity check","Pending","Low","https://tax.colorado.gov/income-tax-topics-able-contribution-subtraction","2026-03-10"
"Connecticut","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Delaware","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"District of Columbia","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Florida","No state individual income tax","N/A for individual income tax recapture","N/A","No state individual income tax","N/A","High","https://floridarevenue.com/","2026-03-10"
"Georgia","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Hawaii","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Idaho","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Illinois","Yes","Conditional","Recapture applies for specified triggers including out-of-state transfer/nonqualified use under state instructions","Annual Schedule M instructions govern filing-year treatment","Schedule M line 7 and line 9 recapture references","High","https://tax.illinois.gov/forms/incometax/currentyear/individual/il-1040-schedule-m-instr.html; https://tax.illinois.gov/content/dam/soi/en/web/tax/forms/incometax/documents/currentyear/individual/il-1040-schedule-m.pdf","2026-03-10"
"Indiana","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Iowa","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Kansas","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Kentucky","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Louisiana","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Maine","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Maryland","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Massachusetts","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Michigan","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
